,FIPS,crime_per_10k_y,full_pred,live 2a1w1c,min 1a1c,pct_less_hs,pct_hs,pct_some_college,pct_college,unemployment_rate_2019,median_household_income_2019,Food,Medical,Housing,Transportation,Civic,Other,Required annual income after taxes,Annual taxes,Required annual income before taxes
762,18161,2.8608210556429694,301.7858170199979,272.1787393623223,272.1787393623223,282.1519704411871,249.8821119591531,266.5580176050538,309.24839580132,299.75657592259546,282.0972579226775,280.02860759028414,302.27252443075946,265.11937870266433,265.11937870266433,265.11937870266433,265.5283330980209,269.63455811079103,109.65148972183482,81.21813874550766
763,18163,264.39194811349347,337.5217511975925,282.86659300194026,282.86659300194026,281.1157843417618,268.5982656383766,242.36421767803122,244.78540360928514,242.73089605653132,250.33638370941404,249.58093816374364,252.42371811762698,252.7854931092322,252.7854931092322,252.7854931092322,256.89079986821105,265.3007939091044,189.1045986757385,165.61157649111834
764,18165,112.11198237314495,306.9238416869401,255.19361469517725,255.19361469517725,244.35974829500464,205.45996003965848,205.0751303758669,203.30986689678866,201.08052048453703,204.8087883086288,204.78878135205127,232.0413432873865,222.5817159618904,222.5817159618904,222.5817159618904,223.47166326322858,223.8578765223021,104.56300636447028,93.25232341697475
765,18167,246.98935230390103,355.6338832441184,295.20270799975066,295.20270799975066,300.1984775139027,281.65042032108005,259.48564234803774,257.4151447264193,236.43548909244404,252.6461084559001,252.28633689552987,256.25234124964777,266.213306720605,266.213306720605,266.213306720605,269.37845791096515,277.0419783916549,204.77704401544597,183.57816851786137
766,18169,18.619582664526487,311.72148472616107,270.799969997064,270.799969997064,288.0989565783901,244.9656393481737,253.77249140591732,300.84540184081067,289.22954249610046,270.876031893561,269.9604129193954,301.9401093520322,285.69509554954027,285.69509554954027,285.69509554954027,287.4718974688197,294.3589441956179,106.24822733340424,79.22379433024437
767,18171,66.69091790954286,324.0747144047477,298.378178555222,298.378178555222,295.31745170162014,261.5662756065809,243.17713726650112,264.8530717263042,256.35785357992586,245.96959547307873,245.05397649891322,262.959038721817,251.783412689827,251.783412689827,251.783412689827,253.9498966349803,260.7398804270724,114.29179960635452,86.92476781999667
768,18173,151.64734061959678,333.41382197833843,267.7584039406555,267.7584039406555,263.304807510559,257.69951412248315,225.90545110299644,228.43165707062565,224.26630203638567,215.6479468881581,214.80626081031048,240.49122220199106,242.53224709737398,242.53224709737398,242.53224709737398,244.2897766471708,259.9299971835499,144.66783668868624,122.84735952894832
769,18175,31.48028904629033,307.54235326412083,259.95426485690666,259.95426485690666,257.830637109114,216.27924911513338,221.00778206420355,231.5243510035588,233.8668940172681,228.08202226199566,227.16640328783015,251.175937728153,218.26508928409814,218.26508928409814,218.26508928409814,218.26508928409814,218.9572026074179,100.30806720186531,73.99158469506776
770,18177,150.36907389087588,322.64689451646234,281.6341209839761,281.6341209839761,282.4095597720147,267.6431726611723,235.19083163085986,265.0634689788814,257.0164906748253,257.8131015477967,256.8974825736312,286.13146647276824,265.57629560445986,265.57629560445986,265.57629560445986,267.3530975237393,275.84129120796814,178.33044004078604,151.67014965728168
771,18179,221.0103329506315,319.53241457432347,260.53639414331786,260.53639414331786,257.4498071672775,218.0567506493093,214.41870007898976,232.51832027298806,229.26101584627767,222.38765224959118,222.9040717550486,247.88030223147587,238.08208981965234,238.08208981965234,238.08208981965234,240.24857376480566,244.76148938459562,116.39813679790328,97.65404734894582
