Name,FIPS, 1-0-1, 1-1-1, 1-2-1, 1-3-1, 2-0-1, 2-1-1, 2-2-1, 2-3-1, 2-0-2, 2-1-2, 2-2-2, 2-3-2,Median Wage,Highschool Diploma,% High School Diploma Only,% Some College or Associates,% Bachelo's Degree or higher,% Civilian Labor Force,Employed,% Unemployed,% Total Crimes
Atlantic,34001,268.92,608.22,776.7,1009.62,463.32,554.58,620.28,700.02,231.66,336.78,423.18,509.4,30.7245098,0.087457291,0.214971552,0.181034043,0.189226107,0.443402274,0.421845746,0.021556529,54.89301872
Atoka,40005,65.35,134.4,165.2,209.3,108.65,130.7,148.75,157.35,54.3,74.15,92,105.1,20.5254902,0.114402885,0.27441137,0.190836456,0.102029272,0.34716821,0.332956233,0.014211978,16.96952556
Attala,28007,12.9,25.65,30.92,38.72,22.16,25.78,29.38,30.95,11.08,14.21,17.34,19.44,18.09068627,0.153781654,0.222818492,0.214601152,0.095589468,0.393593829,0.368326905,0.025266924,7.826038348
Audrain,29007,38.58,78.09,92.37,113.73,66.03,80.34,91.47,95.58,33.03,43.29,51.96,57.15,22.35735294,0.097428091,0.322129637,0.180794808,0.103717651,0.425767166,0.411465427,0.014301739,85.73031007
Audubon,19009,27.1,56.54,71.4,89.86,46.1,54.78,62.38,65.54,23.04,31.18,39.7,45.12,26.07696078,0.074726824,0.263482552,0.250793091,0.121254847,0.554811421,0.540888262,0.013923158,22.91152626
Auglaize,39011,64.95,136,171.95,225.1,107.15,126.8,144.8,154.55,53.6,74.85,95.35,113,31.48382353,0.049006936,0.290422644,0.202554823,0.126060919,0.540110293,0.523738745,0.016371548,4.523717203
Augusta,51015,14.38,29.59,36.75,47.33,22.61,27.82,31.43,33.89,11.31,16.18,20.25,23.75,31.18676471,0.089847329,0.275568805,0.184134113,0.161652922,0.487436602,0.476002426,0.011434176,20.77767884
Aurora,46003,12.21,26.25,32.39,40.8,20.93,25.23,28.67,30.02,10.47,14.44,17.99,20.49,27.62745098,0.085183837,0.220240262,0.210775391,0.141244995,0.550054605,0.536221332,0.013833273,3.640334911
Austin,48015,54.52,112.8,139.36,176.48,88.44,106.6,120.16,127.16,44.2,61.64,76.76,88.56,33.48578431,0.107601021,0.195544801,0.20721318,0.160407067,0.463221401,0.447276826,0.015944575,18.23184274
Autauga,1001,40.74,82.11,100.35,126.57,67.83,80.07,90.87,96,33.9,45.21,55.8,63.54,28.54558824,0.072969986,0.213434232,0.180188759,0.168846187,0.446917779,0.434673922,0.012243857,29.92942777
Avery,37011,53.8,110.6,137.44,174.64,87.44,105.56,120.12,126.64,43.72,60.88,76.28,87.68,22.4622549,0.123048411,0.225991239,0.244524318,0.154723127,0.425586881,0.41025497,0.015331911,20.77951252
Avoyelles,22009,25.62,57.8,70.66,89.22,44.1,55.88,63.16,66.96,22.06,31.7,39.12,44.78,18.78235294,0.162270426,0.26453027,0.186657597,0.085833774,0.38573552,0.364144811,0.021590709,59.20439372
Baca,8009,41.43,81.69,100.95,130.2,67.26,79.86,91.11,99.12,33.63,45.33,56.37,65.76,19.09068627,0.102395893,0.208214489,0.27410154,0.159155733,0.614945807,0.604962921,0.009982886,19.96577296
Bacon,13005,53.24,105,126.96,158.42,87.6,104.92,119.48,125.12,43.8,58.12,71.08,79.56,40.9872549,0.118312388,0.279712747,0.193087971,0.03451526,0.44497307,0.428545781,0.016427289,27.82764811
Bailey,48017,24.68,51.24,62.68,80.44,41.98,49.98,56.78,61.32,21,28.24,34.86,40.38,22.63431373,0.142670915,0.21712051,0.152085747,0.106460023,0.361964079,0.34863847,0.013325608,17.38122827
Baker,12003,12.31,26.78,32.85,41.27,21.22,25.8,29.19,30.65,10.61,14.7,18.19,20.72,29.63431373,0.096464843,0.287165151,0.201670264,0.089352065,0.425209668,0.411337981,0.013871687,0
Baker,41001,27.6,57.34,70.34,90.9,47.02,56.6,64.54,70.68,23.52,31.82,39.32,45.92,23.78921569,0.064794816,0.223362131,0.259719222,0.170506359,0.428965683,0.409587233,0.01937845,58.19534437
Baldwin,1003,191.49,365.04,445.25,571.22,298.22,354.9,401.7,434.85,149.11,200.46,247,286.65,29.34852941,0.059943823,0.180340601,0.203972093,0.207743121,0.4203532,0.408656107,0.011697092,53.89032951
Baldwin,13009,27.8,54.48,66.46,83.28,44.88,53.42,60.72,63.6,22.44,30.04,37.04,41.82,21.77892157,0.091417612,0.225416105,0.176647869,0.149683783,0.404369963,0.386789653,0.01758031,43.83661727
Ballard,21007,13.17,26.96,33.26,42.09,21.6,26.12,29.76,31.13,10.8,14.88,18.61,21.13,23.55539216,0.093297101,0.264880952,0.253493789,0.116071429,0.45005176,0.425207039,0.02484472,14.23395445
Baltimore,24005,31.68,66.91,82.13,105.95,51.62,62.44,69.62,75.7,25.82,36.22,44.81,53.15,37.73137255,0.057351659,0.173433505,0.17747781,0.264968667,0.537240722,0.517938996,0.019301725,129.8483971
Baltimore City,24510,31.68,66.91,82.13,105.95,51.62,62.44,69.62,75.7,25.82,36.22,44.81,53.15,24.40196078,0.106967977,0.210531528,0.17498139,0.230811257,0.491302833,0.466701838,0.024600996,146.7625506
Bamberg,45009,54.24,114.64,138.48,172.96,90.48,112.88,127.68,134.4,45.24,63,76.92,86.84,17.33529412,0.141912704,0.234918488,0.209676208,0.135677259,0.369919615,0.350236646,0.019682969,60.10066862
Bandera,48019,13.5,28.71,35.26,45.01,22.49,27.25,30.65,32.95,11.25,15.66,19.4,22.59,29.21764706,0.08666251,0.262001822,0.277061052,0.184979138,0.481895353,0.466020814,0.015874538,2.397966524
Banks,13011,27.3,52.76,63.74,79.78,44.58,52.7,60,63.12,22.28,29.18,35.66,40.06,26.21617647,0.173274189,0.27313557,0.175824785,0.096257278,0.543332409,0.528139728,0.015192681,23.28805101
