FIPS,State,County,Food,Medical,Housing,Transportation,Civic,Other,Required annual income after taxes,Annual taxes,Required annual income before taxes
36047,New York,Kings County,8406,7013,23412,9889,3341,5514,57574,15170,72744
36049,New York,Lewis County,8406,7013,9336,9889,3341,5514,43498,11563,55061
36051,New York,Livingston County,8406,7013,11664,9889,3341,5514,45826,12159,57985
36053,New York,Madison County,8406,7013,10800,9889,3341,5514,44962,11938,56900
36055,New York,Monroe County,8406,7013,11664,9889,3341,5514,45826,12159,57985
36057,New York,Montgomery County,8406,7013,9444,9889,3341,5514,43606,11590,55196
36059,New York,Nassau County,8406,7013,23904,9889,3341,5514,58066,15296,73362
36061,New York,New York County,8406,7013,23412,9889,3341,5514,57574,15170,72744
36063,New York,Niagara County,8406,7013,10116,9889,3341,5514,44278,11762,56041
36065,New York,Oneida County,8406,7013,9480,9889,3341,5514,43642,11599,55242
36067,New York,Onondaga County,8406,7013,10800,9889,3341,5514,44962,11938,56900
36069,New York,Ontario County,8406,7013,11664,9889,3341,5514,45826,12159,57985
36071,New York,Orange County,8406,7013,16764,9889,3341,5514,50926,13466,64392
36073,New York,Orleans County,8406,7013,11664,9889,3341,5514,45826,12159,57985
36075,New York,Oswego County,8406,7013,10800,9889,3341,5514,44962,11938,56900
36077,New York,Oswego County,8406,7013,10800,9889,3341,5514,44962,11938,56900
36075,New York,Otsego County,8406,7013,10476,9889,3341,5514,44638,11855,56493
36077,New York,Otsego County,8406,7013,10476,9889,3341,5514,44638,11855,56493
36079,New York,Putnam County,8406,7013,23412,9889,3341,5514,57574,15170,72744
36081,New York,Queens County,8406,7013,23412,9889,3341,5514,57574,15170,72744
36083,New York,Rensselaer County,8406,7013,12648,9889,3341,5514,46810,12411,59222
36085,New York,Richmond County,8406,7013,23412,9889,3341,5514,57574,15170,72744
36087,New York,Rockland County,8406,7013,23412,9889,3341,5514,57574,15170,72744
36089,New York,St. Lawrence County,8406,7013,9960,9889,3341,5514,44122,11722,55845
36091,New York,Saratoga County,8406,7013,12648,9889,3341,5514,46810,12411,59222
36093,New York,Schenectady County,8406,7013,12648,9889,3341,5514,46810,12411,59222
36095,New York,Schoharie County,8406,7013,12648,9889,3341,5514,46810,12411,59222
36097,New York,Schuyler County,8406,7013,8856,9889,3341,5514,43018,11440,54458
36099,New York,Seneca County,8406,7013,9936,9889,3341,5514,44098,11716,55815
36101,New York,Steuben County,8406,7013,9120,9889,3341,5514,43282,11507,54789
36103,New York,Suffolk County,8406,7013,23904,9889,3341,5514,58066,15296,73362
36105,New York,Sullivan County,8406,7013,12000,9889,3341,5514,46162,12245,58407
36107,New York,Tioga County,8406,7013,9840,9889,3341,5514,44002,11692,55694
36109,New York,Tompkins County,8406,7013,14064,9889,3341,5514,48226,12774,61000
36111,New York,Ulster County,8406,7013,14580,9889,3341,5514,48742,12906,61649
36113,New York,Warren County,8406,7013,11472,9889,3341,5514,45634,12110,57744
36115,New York,Washington County,8406,7013,11472,9889,3341,5514,45634,12110,57744
36117,New York,Wayne County,8406,7013,11664,9889,3341,5514,45826,12159,57985
36119,New York,Westchester County,8406,7013,23700,9889,3341,5514,57862,15244,73106
36121,New York,Wyoming County,8406,7013,8856,9889,3341,5514,43018,11440,54458
36123,New York,Yates County,8406,7013,9300,9889,3341,5514,43462,11553,55016
37001,North Carolina,Alamance County,7238,7548,10164,11672,3554,5144,45321,11154,56475
37003,North Carolina,Alexander County,7238,7548,8544,11672,3554,5144,43701,10755,54456
37005,North Carolina,Alleghany County,7238,7548,8052,11672,3554,5144,43209,10634,53843
37007,North Carolina,Anson County,7238,7548,8052,11672,3554,5144,43209,10634,53843
37009,North Carolina,Ashe County,7238,7548,8052,11672,3554,5144,43209,10634,53843
37011,North Carolina,Avery County,7238,7548,8892,11672,3554,5144,44049,10841,54890
37013,North Carolina,Beaufort County,7238,7548,8052,11672,3554,5144,43209,10634,53843
37015,North Carolina,Bertie County,7238,7548,8052,11672,3554,5144,43209,10634,53843
37017,North Carolina,Bladen County,7238,7548,8052,11672,3554,5144,43209,10634,53843
