,FIPS,pct_less_HS,pct_HS,pct_some_college,pct_college
633,17033,15.0,28.6,39.4,17.1
634,17035,9.4,40.1,35.1,15.4
635,17037,7.7,24.9,35.1,32.3
636,17039,8.5,37.8,32.5,21.3
637,17041,16.8,33.4,31.0,18.9
638,17043,7.0,18.2,25.4,49.4
639,17045,9.9,37.3,35.5,17.2
640,17047,8.0,34.5,43.5,13.9
641,17049,6.9,35.8,34.5,22.7
642,17051,16.2,40.2,32.4,11.3
643,17053,9.6,35.5,33.6,21.4
644,17055,11.1,33.0,39.2,16.7
645,17057,11.4,34.5,36.6,17.6
646,17059,13.1,39.8,36.3,10.9
647,17061,9.4,47.6,30.2,12.8
648,17063,6.8,33.8,36.5,22.9
649,17065,12.9,34.9,35.2,17.0
650,17067,6.6,36.6,35.9,21.0
651,17069,20.4,32.3,36.5,10.8
652,17071,8.8,41.7,31.2,18.3
653,17073,8.8,33.7,34.2,23.3
654,17075,10.5,39.8,33.8,15.9
655,17077,8.1,24.1,33.7,34.1
656,17079,10.2,39.1,34.1,16.6
657,17081,12.6,30.6,38.9,17.9
658,17083,7.7,38.8,33.2,20.3
659,17085,7.7,35.9,31.4,25.0
660,17087,17.8,31.6,34.7,16.0
661,17089,15.4,22.7,28.7,33.1
662,17091,11.8,34.4,33.0,20.8
